country,total_weekly_hours_worked(estimates_in_thousands),percentage_of_working_hrs_lost,percent_hours_lost_40hrs_per_week,percent_hours_lost_48hrs_per_week,labour_dependency_ratio,employed_female_25+_2019,employed_male_25+_2019,ratio_of_weekly_hours_worked_by_population_age_15-64
Afghanistan,350285.606,6.5,607.476,506.23,3.57,1334.243,5424.911,16.2
Angola,457913.433,8.6,1075.838,896.532,1.7,4612.109,4724.669,27.1
Albania,49922.483,3.9,51.087,42.572,1.77,500.112,651.87,25.5
United Arab Emirates,320690.368,9.3,824.579,687.149,0.41,996.03,5111.77,38.6
Argentina,525994.01,21,3492.559,2910.466,1.43,7264.33,9496.191,18.1
Armenia,31639.032,16.8,159.418,132.848,1.72,407.158,519.975,15.8
Australia,403947.393,4.7,503.053,419.211,0.99,5017.147,5849.21,24.6
Austria,142519.045,10.5,417.616,348.013,1.05,1843.945,2109.049,23.8
Azerbaijan,153216.26,14.1,630.631,525.526,1.13,2106.548,2237.431,21.7
Burundi,203899.701,-0.1,-4.467,-3.723,1.36,1931.623,1838.077,32.7
Belgium,164758.728,7.3,322.644,268.87,1.43,2104.738,2433.703,22.3
Benin,193658.604,3.2,161.663,134.719,1.53,1816.052,1961.556,29.2
Burkina Faso,323122.078,2.6,217.414,181.178,1.77,2373.467,2825.971,29
Bangladesh,2812817.837,12.2,9732.437,8110.365,1.67,16704.776,39120.428,25.1
Bulgaria,119513.123,6,189.273,157.727,1.41,1446.55,1662.408,26.9
Bahrain,41146.771,9,101.505,84.588,0.76,169.787,724.901,30.6
Bahamas,7071.777,14.8,30.725,25.604,1.12,88.761,89.903,25.5
Bosnia and Herzegovina,40903.955,9.7,110.369,91.974,2.55,405.275,630.467,18.5
Belarus,165398.24,1.3,54.217,45.181,0.99,2201.323,2228.734,26.1
Belize,6547.332,11.1,20.473,17.061,1.68,52.105,82.163,25
Bolivia,181961.22,20.5,1172.289,976.908,1.18,2022.956,2520.366,25
Brazil,3037976.789,14.9,13321.031,11100.859,1.23,34791.765,46018.66,20.5
Barbados,4607.039,10.4,13.338,11.115,1.07,63.388,64.389,24.1
Brunei Darussalam,8955.392,4.4,10.375,8.646,1.17,74.766,106.428,28.4
Bhutan,14032.632,11.9,47.559,39.632,1.2,131.936,201.132,26.4
Botswana,36136.906,6.4,61.876,51.563,2.12,369.495,403.179,24.8
Central African Republic,65138.828,5,85.036,70.864,1.57,584.051,715.193,25.1
Canada,567205.382,9.3,1455.596,1212.997,0.96,7971.517,8965.794,22.7
Channel Islands,2820.192,5.9,4.419,3.682,1.11,31.874,39.786,24.2
Switzerland,165645.895,3.8,165.668,138.056,0.85,1945.255,2249.777,29
Chile,274178.522,16.7,1373.181,1144.317,1.32,3404.306,4713.975,20.9
China,33243962.45,4.1,35499.789,29583.157,0.81,306274.252,391436.456,32.8
C̫te d'Ivoire,339054.893,4.2,370.211,308.509,2.22,2521.941,3812.659,23.1
Cameroon,424398.549,4.2,467.634,389.695,1.44,3918.367,4405.171,29
"Congo, Democratic Republic of the",912738.406,6.6,1615.302,1346.085,1.92,10977.385,12194.538,19.9
Congo,72855.83,9.3,187.849,156.541,1.86,790.561,848.186,23.6
Colombia,801036.723,20.9,5284.354,4403.628,1.26,8485.082,11748.15,22.9
Comoros,8839.473,7.1,16.964,14.137,3.17,71.499,125.112,17.6
Cape Verde,7307.454,13.3,28.013,23.345,1.82,83.13,101.899,19.6
Costa Rica,74936.948,17.5,396.022,330.019,1.34,792.453,1235.401,21.3
Cuba,174546.52,12.5,620.948,517.457,1.27,1764.093,2769.8,22.6
Cyprus,19179.205,14.6,82.194,68.495,1.03,240.949,294.713,23
Czechia,197622.982,4.3,224.61,187.175,1.16,2262.931,2808.023,28.8
Germany,1400830.793,6.3,2354.46,1962.05,1.09,17931.513,20561.755,26
Djibouti,13871.065,6.8,25.387,21.156,1.76,121.171,192.174,21.1
Denmark,94071.469,3.3,79.025,65.854,1.08,1142.972,1312.896,25.6
Dominican Republic,161608.408,15.5,742.286,618.572,1.62,1668.362,2446.326,22.9
Algeria,415765.777,11.6,1362.242,1135.201,2.61,1861.749,8228.521,15.2
Ecuador,260862.435,17.6,1391.951,1159.959,1.32,2855.862,4041.473,22.7
Egypt,1126411.157,9.5,2971.985,2476.654,2.31,4360.616,19475.926,18.1
Eritrea,46972.555,14.7,201.932,168.277,1.29,515.417,608.132,24.4
Western Sahara,7915.984,8.2,17.732,14.777,1.92,39.272,140.613,19.1
Spain,632419.656,13.2,2412.864,2010.72,1.47,8526.593,10246.208,20.6
Estonia,24201.696,4.5,28.225,23.521,1.34,301.975,321.927,28.9
Ethiopia,1446939.754,9.5,3802.008,3168.34,1.29,16381.662,19110.676,22.3
Finland,90321.063,1.3,30.853,25.711,1.19,1103.607,1191.265,26.5
Fiji,14856.976,6.3,24.902,20.752,1.4,98.685,200.841,25.4
France,918518.662,8.4,2111.313,1759.427,1.4,12248.471,13082.73,22.2
Gabon,23903.213,8.3,53.853,44.877,3.06,191.304,344.924,18.1
United Kingdom,1055314.545,12.8,3888.654,3240.545,1.12,13954.781,15822.501,24.4
Georgia,58559.708,13.1,220.322,183.601,1.3,801.892,869.405,22.7
Ghana,494845.069,4.7,614.43,512.025,1.48,4752.172,5426.397,26.7
Guinea,148245.703,7.6,303,252.5,2.09,1716.793,1453.484,20.9
Gambia,31148.112,7.7,64.752,53.96,2.43,228.563,310.335,24.1
Guinea-Bissau,26609.193,8.9,65.244,54.37,1.53,279.755,310.726,24.5
Equatorial Guinea,19752.944,8.5,45.69,38.075,1.87,151.892,269.384,23.1
Greece,136984.055,12.6,492.873,410.728,1.53,1545.297,2189.305,20.5
Guatemala,261991.125,16.4,1286.982,1072.485,1.78,1829.065,3403.04,23.7
Guam,2941.304,9.6,7.787,6.489,1.28,26.519,37.266,26.6
Guyana,9863.276,12.5,35.224,29.354,2.02,81.865,128.97,19.2
"Hong Kong, China",144957.601,8.6,341.161,284.301,1.01,1745.445,1786.359,28
Honduras,136185.904,24.3,1093.766,911.471,1.6,1304.032,2007.517,21.3
Croatia,60768.033,5.5,88.78,73.984,1.54,729.886,840.814,23.1
Haiti,169115.612,7.6,346.974,289.145,1.82,1858.054,2060.451,23.8
Hungary,163936.297,5.2,223.98,186.65,1.62,1935.652,2321.126,25.9
Indonesia,4639060.401,8.2,10424.883,8687.403,1.22,44195.656,67702.037,25
India,18071871.51,13.7,71600.118,59666.765,1.83,86632.141,330467.179,19.5
Ireland,73422.494,12.5,262.844,219.036,1.35,931.259,1112.37,23
"Iran, Islamic Republic of",1035206.194,5.9,1632.411,1360.342,2.55,4058.931,18648.716,17.9
Iraq,349301.918,10.8,1053.776,878.147,3.46,902.815,6632.726,14.8
Iceland,7247.051,6.3,12.145,10.121,0.82,76.343,87.771,32.7
Israel,124508.947,9.2,316.841,264.035,1.38,1517.492,1692.727,24.1
Italy,745249.606,13.5,2897.255,2414.379,1.64,9494.895,12970.379,19.3
Jamaica,53195.715,11.3,169.39,141.158,1.47,563.698,684.055,26.6
Jordan,95457.657,10.4,277.578,231.315,3.37,328.641,1591.96,14.8
Japan,2392471.469,5.4,3398.44,2832.033,1.02,27174.068,34800.777,32
Kazakhstan,287781.215,11.5,939.211,782.676,0.99,3762.105,4045.766,24.3
Kenya,854946.524,9.5,2238.344,1865.287,1.58,9280.059,9524.823,27
Kyrgyzstan,80275.183,11.7,265.595,221.33,1.44,801.161,1251.836,19.6
Cambodia,391194.289,4.8,492.391,410.326,0.77,3550.765,3635.056,36.4
"Korea, Republic of",1054518.328,3.7,1024.019,853.349,1.04,10848.61,14864.593,28.7
Kuwait,89724.177,16.4,440.417,367.014,0.91,547.831,1727.65,27.8
Lao People's Democratic Republic,157677.005,4.3,179.233,149.361,1.03,1431.75,1527.17,34
Lebanon,94901.651,10.3,273.809,228.174,2.09,452.241,1527.096,20.6
Liberia,89599.709,9,222.316,185.263,1.38,782.666,848.175,31.5
Libya,79993.196,9.3,206.029,171.691,2.57,609.506,1276.459,17.2
Saint Lucia,3347.042,9.8,9.067,7.556,1.28,37.493,42.474,25.4
Sri Lanka,305347.042,9.9,839.294,699.411,1.58,2448.888,4953.541,21.9
Lesotho,27435.134,7.4,55.084,45.903,2.08,273.678,349.629,20.4
Lithuania,47942.555,6.1,77.611,64.676,1.51,649.02,620.464,27.6
Luxembourg,10966.125,3.7,10.633,8.861,1.23,123.322,148.666,25
Latvia,33459.341,3.3,28.766,23.972,1.45,440.599,426.427,28.2
"Macau, China",16653.861,1.9,8.139,6.782,0.67,169.997,180.45,34.8
Morocco,428498.23,14.1,1763.973,1469.977,2.09,2335.671,7454.489,17.7
"Moldova, Republic of",42694.907,12.9,157.504,131.253,2.1,619.274,644.272,14.8
Madagascar,433007.648,6.9,802.4,668.667,1.08,4695.859,4904.532,27.5
Maldives,12375.27,11.4,39.667,33.056,1.55,47.315,192.302,29.8
Mexico,2116040.526,12.5,7526.447,6272.039,1.47,18169.421,28262.88,24.7
North Macedonia,28098.114,13.8,112.719,93.932,2.22,301.647,445.109,19.5
Mali,282815.38,3.3,239.149,199.291,1.92,1964.53,2787.45,27.6
Malta,7286.782,10.6,21.654,18.045,1.53,76.855,110.877,25.7
Myanmar,961100.243,13.4,3727.011,3105.842,1.14,7751.563,11880.181,25.9
Montenegro,9679.698,7.8,20.451,17.043,2.18,96.668,123.009,23.3
Mongolia,64748.161,2.5,42.082,35.069,1.48,549.59,647.532,30.6
Mozambique,356670.388,5.2,491.028,409.19,1.31,4836.529,4353.927,21.5
Mauritania,42090.184,5.3,58.634,48.861,3.1,295.621,661.457,15.8
Mauritius,19541.344,6.7,35.259,29.383,1.38,192.839,315.752,21.7
Malawi,273451.929,5.1,364.827,304.023,1.56,2608.322,2804.141,26.3
Malaysia,621110.936,11.1,1931.314,1609.428,1.38,5039.873,8116.68,27.7
Namibia,31166.81,5.9,48.764,40.637,2.57,334.985,326.146,20.6
New Caledonia,4976.935,3.5,4.476,3.73,1.38,47.176,57.458,25.6
Niger,338809.14,1.1,93.003,77.503,1.53,2453.468,3185.344,29.3
Nigeria,2321838.336,8.9,5649.647,4708.039,2.1,20343.874,26736.851,20.9
Nicaragua,102673,3.7,97.24,81.033,1.53,972.189,1384.745,23.9
Netherlands,274172.915,4.3,304.576,253.814,0.98,3482.454,4111.453,24.9
Norway,91388.889,2.5,58.41,48.675,0.94,1125.325,1276.571,25.8
Nepal,553579.828,17.4,2918.587,2432.155,0.92,6534.932,5009.104,29.1
New Zealand,84447.121,0.8,15.991,13.326,1,1052.594,1157.396,27.3
Oman,106668.766,13.1,402.625,335.521,1.25,364.367,2071.891,27.9
Pakistan,3091778.114,9.2,7820.523,6517.103,2.13,10759.607,43918.029,23
Panama,56927.255,23.5,437.503,364.586,1.31,712.702,1007.94,20.3
Peru,520140.584,27.5,4923.604,4103.003,0.87,6933.518,8417.391,23.7
Philippines,1619004.4,13.6,6361.535,5301.279,1.53,14698.315,22444.418,22.9
Papua New Guinea,118177.373,1.8,54.932,45.777,2.43,989.143,1029.747,21.6
Poland,663843.786,3.5,598.965,499.137,1.33,7303.397,9151.474,26.6
Puerto Rico,30771.263,8.6,72.463,60.386,2.37,384.681,457.436,17
"Korea, Democratic People's Republic of",575945.533,4.4,657.193,547.661,0.64,6248.876,7090.949,31.6
Portugal,161372.44,13.4,625.794,521.495,1.16,2265.071,2350.522,24.7
Paraguay,120351.996,11.4,385.855,321.546,1.26,1103.837,1601.367,26.2
Occupied Palestinian Territory,35659.728,13.1,134.188,111.823,4.58,144.819,684.263,12
French Polynesia,4370.652,5.7,6.658,5.549,1.68,39.722,52.189,22.6
Qatar,95470.25,9.5,251.927,209.939,0.32,255.037,1634.111,39.1
Romania,303951.842,8.8,732.11,610.092,1.32,3546.749,4606.809,24.2
Russian Federation,2388351.447,8.5,5535.424,4612.854,1.03,32479.796,33814.969,24.7
Rwanda,144983.66,9.4,375.295,312.746,1.05,2476.502,2267.592,19.5
Saudi Arabia,560705.755,8.3,1268.239,1056.866,1.94,1686.082,11195.816,22.4
Sudan,396000.58,9.1,988.175,823.479,3.19,2249.418,6517.546,16
Senegal,139238.725,6.3,235.154,195.961,3.07,1274.718,1876.686,15.3
Singapore,142712.769,7.8,299.927,249.94,0.76,1338.617,1878.262,32.8
Solomon Islands,11618.235,1.8,5.385,4.488,1.03,119.23,125.724,30
Sierra Leone,106281.548,3.8,105.437,87.864,2.02,1042.847,1116.147,23.5
El Salvador,93306.748,19.4,560.72,467.266,1.57,959.926,1232.165,22.2
Somalia,126136.671,2.5,80.002,66.668,3.67,598.51,1956.624,15.6
Serbia,131060.373,7.5,266.058,221.715,1.95,1547.296,1898.88,22.9
South Sudan,138225.81,8.7,330.108,275.09,1.76,1424.095,1582.379,22.3
Sao Tome and Principe,2338.663,8.9,5.724,4.77,2.53,17.697,33.265,19.3
Suriname,7628.108,11.8,25.551,21.292,1.95,67.639,113.7,19.6
Slovakia,87034.165,12.8,318.204,265.17,1.35,1125.56,1325.156,23.5
Slovenia,34199.866,8,74.33,61.942,1.12,424.063,491.659,25.7
Sweden,168356.212,5.2,232.158,193.465,1.08,2121.828,2357.458,26.9
Eswatini,11612.499,9.9,32.024,26.687,3.5,122.124,136.444,17.1
Syrian Arab Republic,190273.463,7.8,402.236,335.197,3.05,625.817,3426.346,16.9
Chad,203497.242,8.4,469.399,391.166,1.77,1804.914,2336.861,24.3
Togo,101528.182,4.9,130.82,109.017,2.02,1115.737,1217.619,21.7
Thailand,1544213.31,4.5,1838.716,1532.263,0.74,16093.653,18680.173,31.4
Tajikistan,88915.243,3.2,73.56,61.3,3.05,666.433,1135.207,15.7
Turkmenistan,94586.183,3.8,94.51,78.758,1.51,791.639,1147.974,24.3
Timor-Leste,15959.25,2.7,11.172,9.31,1.67,189.821,230.577,20.6
Tonga,995.745,7.4,1.983,1.652,2.12,10.83,15.21,15.9
Trinidad and Tobago,22210.724,11.3,70.609,58.841,1.1,249.1,332.903,23.2
Tunisia,130189.608,6,208.614,173.845,2.21,787.986,2404.788,16.5
Turkey,1114167.553,14.7,4796.127,3996.773,2.21,7749.438,16431.184,19.7
"Taiwan, China",463087.007,3.9,469.389,391.158,1.16,4782.554,6165.829,27.2
"Tanzania, United Republic of",1003404.661,1.8,468.825,390.687,1.16,9068.887,9821.313,31.2
Uganda,505283.586,12.2,1756.559,1463.799,1.87,5796.994,5910.159,21.2
Ukraine,644976.338,8.8,1555.537,1296.281,1.3,8248.38,9005.257,22
Uruguay,50238.257,11.2,157.651,131.376,1.11,640.288,780.65,22.4
United States,5406437.003,9.2,13743.322,11452.769,1.18,64352.836,76212.71,25.1
Uzbekistan,507138.97,8.5,1183.491,986.243,1.38,4746.504,6838.192,22.8
Saint Vincent and the Grenadines,1724.834,9.3,4.424,3.687,1.49,18.079,23.266,22.8
"Venezuela, Bolivarian Republic of",358000.038,13.7,1417.654,1181.378,1.41,3725.528,6080.74,19.4
United States Virgin Islands,1421.021,13,5.294,4.412,1.13,22.14,20.749,22.6
Viet Nam,2201808.259,5.2,3038.192,2531.826,0.74,23667.424,25357.86,32.8
Vanuatu,3380.123,5.3,4.754,3.962,1.37,42.586,55.066,19
Samoa,1868.131,4.8,2.335,1.946,2.9,13.357,26.593,16.3
World,125598964.7,8.8,303009.768,252508.14,1.33,1117336.992,1756545.519,24.7
World: Low income,8316985.098,6.7,14967.334,12472.778,1.76,79883.005,104669.76,22
World: Lower-middle income,41165014.56,11.3,131683.815,109736.513,1.72,269585.761,629453.594,21.7
World: Upper-middle income,55633594.22,7.3,110084.495,91737.079,1.05,533343.533,724344.788,27.8
World: High income,20483370.84,8.3,46274.124,38561.77,1.19,236973.58,303030.917,25.4
Africa,16478309.19,7.7,34271.976,28559.98,1.84,151172.76,206070.848,21.9
Africa: Low income,6305105.222,7,11810.566,9842.139,1.58,66589.69,74638.082,23.1
Africa: Lower-middle income,9342048.841,7.7,19576.456,16313.713,1.96,75813.474,119799.784,21.7
Africa: Upper-middle income,791860.836,12.4,2804.003,2336.669,2.59,8424.865,11047.845,16.5
Northern Africa,2584774.532,10.4,7518.751,6265.626,2.44,12244.218,45498.343,17.1
Northern Africa: Lower-middle income,2504781.336,10.5,7312.721,6093.935,2.44,11634.712,44221.884,17.1
Northern Africa: Upper-middle income,79993.196,9.3,206.029,171.691,2.57,609.506,1276.459,17.2
Sub-Saharan Africa,13893534.66,7.2,26753.225,22294.354,1.72,138928.542,160572.505,23.1
Sub-Saharan Africa: Low income,6305105.222,7,11810.566,9842.139,1.58,66589.69,74638.082,23.1
Sub-Saharan Africa: Lower-middle income,6837267.506,6.7,12263.735,10219.779,1.77,64178.762,75577.9,24.2
Sub-Saharan Africa: Upper-middle income,731408.983,12.6,2633.233,2194.361,2.55,8008.198,10087.139,16.6
Central Africa,2182537.107,6.8,4006.325,3338.604,1.78,23048.28,25872.191,23.3
Eastern Africa,5997793.18,7.2,11556.782,9630.652,1.41,64815.068,70155.022,24.4
Southern Africa,727012.059,12.6,2631.229,2192.691,2.57,8019.856,9912.536,16.5
Western Africa,4986192.309,6.4,8558.888,7132.407,1.98,43045.338,54632.757,22.9
Americas,15600103.14,13.7,61684.495,51403.746,1.26,175211.066,228447.739,23
Americas: Low income,169115.612,7.6,346.974,289.145,1.82,1858.054,2060.451,23.8
Americas: Lower-middle income,514126.871,18.5,2924.015,2436.679,1.42,5259.102,7144.794,23.2
Americas: Upper-middle income,8515545.355,16.2,41099.514,34249.595,1.31,90356.085,126865.431,22
Americas: High income,6421068.241,9.8,17359.682,14466.402,1.17,77889.717,92646.448,24.6
Latin America and the Caribbean,9626460.75,16.2,46485.576,38737.98,1.32,102886.713,143269.235,22
Latin America and the Caribbean: Low income,169115.612,7.6,346.974,289.145,1.82,1858.054,2060.451,23.8
Latin America and the Caribbean: Lower-middle income,514126.871,18.5,2924.015,2436.679,1.42,5259.102,7144.794,23.2
Latin America and the Caribbean: Upper-middle income,8495792.411,16.2,41053.824,34211.52,1.31,90204.193,126596.046,21.9
Latin America and the Caribbean: High income,447425.856,16.2,2160.764,1800.637,1.36,5565.365,7467.944,20.9
Caribbean,629619.954,11.7,2085.519,1737.932,1.56,6717.847,8991.752,23
Central America,2848608.837,13.8,11419.153,9515.961,1.5,24791.893,38615.852,24.1
South America,6148231.959,17.7,32980.904,27484.087,1.24,71376.973,95661.631,21
Northern America,5973642.385,9.2,15198.919,12665.765,1.16,72324.353,85178.505,24.9
Northern America: High income,5973642.385,9.2,15198.919,12665.765,1.16,72324.353,85178.505,24.9
Arab States,2221344.344,9,5512.031,4593.359,2.31,6783.943,40704.795,20.1
Arab States: Lower-middle income,35659.728,13.1,134.188,111.823,4.58,144.819,684.263,12
Arab States: Upper-middle income,539661.226,10.6,1605.162,1337.635,3.22,1683.697,9751.782,15.5
Arab States: High income,1214406.087,9.8,3289.293,2741.077,1.21,4019.136,22466.139,27.5
Asia and the Pacific,77158014.68,7.9,165625.288,138021.073,1.22,611935.354,1075073.83,26.3
Asia and the Pacific: Low income,926231.138,5.2,1264.67,1053.891,1.52,7583.119,12515.86,23.2
Asia and the Pacific: Lower-middle income,30394094.3,12.3,106875.204,89062.67,1.68,176202.467,490602.744,21.6
Asia and the Pacific: Upper-middle income,41113649.42,4.8,51395.999,42829.999,0.9,378281.44,509972.549,31
Asia and the Pacific: High income,4724039.83,4.9,6089.415,5074.512,1.03,52317.216,66936.216,29.7
Eastern Asia,37956344.41,4.2,41440.211,34533.51,0.83,357793.391,456972.945,32.5
Eastern Asia: Low income,575945.533,4.4,657.193,547.661,0.64,6248.876,7090.949,31.6
Eastern Asia: Upper-middle income,33243962.45,4.1,35499.789,29583.157,0.81,306274.252,391436.456,32.8
Eastern Asia: High income,4071688.266,4.9,5241.147,4367.623,1.04,44720.674,57798.008,30.3
South-Eastern Asia and the Pacific,12954376.24,8.2,28947.004,24122.503,1.09,125489.193,170165.542,27
South-Eastern Asia and the Pacific: Lower-middle income,5479919.178,9.2,13874.604,11562.17,1.09,52440.597,66285.799,27.8
South-Eastern Asia and the Pacific: Upper-middle income,6822105.499,7.7,14224.133,11853.444,1.11,65452.054,94741.534,26.5
South-Eastern Asia and the Pacific: High income,2196564.875,4.7,2686.983,2239.152,0.8,23690.195,27818.382,29.7
South-Eastern Asia,12302796.25,8.4,28314.748,23595.623,1.09,118032.203,161558.842,27.2
Pacific Islands,651579.988,3.7,632.256,526.88,1.2,7456.99,8606.701,24.3
Southern Asia,26247294.03,12.7,95238.072,79365.06,1.86,128652.769,447935.342,20.4
Southern Asia: Low income,350285.606,6.5,607.476,506.23,3.57,1334.243,5424.911,16.2
Southern Asia: Lower-middle income,24849426.96,13,92958.518,77465.432,1.82,123212.281,423669.412,20.6
Southern Asia: Upper-middle income,1047581.465,6,1672.078,1393.398,2.28,6555.134,23794.559,18
Europe and Central Asia,14141193.36,9.2,35915.979,29929.982,1.31,172233.87,206248.307,23.3
Europe and Central Asia: Lower-middle income,1275085.397,9,3162.128,2635.106,1.37,14415.318,17739.557,21.8
Europe and Central Asia: Upper-middle income,4672877.385,10.1,13179.816,10983.18,1.32,54597.447,66707.181,23
Europe and Central Asia: High income,8104315.334,8.8,19500.475,16250.396,1.28,102554.672,120666.361,23.8
"Northern, Southern and Western Europe",6803902.732,9.4,17564.253,14636.878,1.29,87472.94,102215.666,23.3
"Northern, Southern and Western Europe: Upper-middle income",259664.623,8,560.683,467.236,2.06,2850.997,3749.335,22.1
"Northern, Southern and Western Europe: High income",6544238.11,9.4,17003.57,14169.642,1.27,84621.943,98466.331,23.4
Northern Europe,1688545.508,10,4703.109,3919.258,1.14,21879.583,24569.436,25
Southern Europe,2037945.061,12.3,7174.235,5978.529,1.57,25913.659,32949.098,20.7
Western Europe,3077412.164,6.9,5686.91,4739.091,1.18,39679.698,44697.132,24.4
Eastern Europe,4777323.128,7.4,9589.825,7991.521,1.17,61169.611,67568.23,24.6
Eastern Europe: Lower-middle income,687671.245,9.1,1713.041,1427.534,1.35,8867.653,9649.529,21.3
Eastern Europe: Upper-middle income,2673262.811,8,5778.914,4815.762,1.04,36127.669,37706.11,24.9
Eastern Europe: High income,1416389.072,5.6,2097.87,1748.225,1.34,16174.289,20212.59,26
Central Asia,1058696.793,8.8,2556.368,2130.307,1.39,10767.842,14418.975,22.2
Central and Western Asia: Lower-middle income,587414.153,9,1449.087,1207.572,1.39,5547.665,8090.028,22.3
Central and Western Asia: Upper-middle income,1708310.92,13.5,6680.801,5567.334,1.76,15211.623,24731.761,20.9
Central and Western Asia: High income,143688.152,10,399.035,332.53,1.33,1758.441,1987.44,23.9
Central and Western Asia,2559967.499,12,8761.901,7301.584,1.68,23591.319,36464.411,21
Western Asia,1501270.706,14.2,6205.533,5171.277,1.91,12823.477,22045.436,20.2
Sub-Saharan Africa: High income,19541.344,6.7,35.259,29.383,1.38,192.839,315.752,21.7
European Union 28,7832217.484,8.9,19132.264,15943.554,1.29,99304.933,116982.138,23.7
G20,83975588.21,8.5,195154.793,162628.994,1.21,760831.567,1201197.73,25.4
ASEAN,12286837,8.4,28303.576,23586.313,1.09,117842.382,161328.265,27.2
BRICS,57362822.9,8.2,128389.843,106991.536,1.19,467097.529,810434.401,25.8
Eastern Asia: Lower-middle income,64748.161,2.5,42.082,35.069,1.48,549.59,647.532,30.6
World excluding BRICS,68171002.98,9.3,174534.888,145445.74,1.45,649655.412,945395.925,23.9
G7,12486027.46,8.7,29849.041,24874.201,1.17,153128.08,182416.646,25.4
MENA,5797749.358,9.1,14511.272,12092.727,2.41,22903.001,104026.979,18.3
Arab League,4989140.285,9.6,13194.036,10995.03,2.43,20075.69,88997.892,18.2
CARICOM,116195.846,11.5,378.801,315.668,1.43,1222.127,1561.822,24.2
European Union 27,6776902.939,8.3,15243.61,12703.008,1.32,85350.153,101159.636,23.6
Africa: High income,19541.344,6.7,35.259,29.383,1.38,192.839,315.752,21.7
Arab States: Low income,431617.304,4.3,483.388,402.823,3.53,936.292,7802.612,15.1
Europe and Central Asia: Low income,88915.243,3.2,73.56,61.3,3.05,666.433,1135.207,15.7
Central and Western Asia: Low income,88915.243,3.2,73.56,61.3,3.05,666.433,1135.207,15.7
Yemen,241343.84,1.3,81.151,67.626,4.08,310.474,4376.266,13.9
South Africa,620660.71,13.6,2433.481,2027.901,2.6,6919.574,8697.138,15.9
Zambia,261419.958,2.6,173.064,144.22,1.85,2359.041,2609.583,26.4
Zimbabwe,160198.453,9.1,399.245,332.705,1.19,2456.059,2230.026,19.6
